origin,destination,distance_km,total_time_min,total_fare,traffic,congestion
Botanical Garden,Mayur Vihar,1.5,2.6,3.7,0.25,0.53
Mayur Vihar,Botanical Garden,1.5,2.6,3.7,0.25,0.53
Botanical Garden,Yamuna Bank,7.6,11.7,16.6,0.55,0.29
Yamuna Bank,Botanical Garden,7.6,11.7,16.6,0.55,0.29
Botanical Garden,New Ashok Nagar,4.7,10.3,8.9,0.19,0.5
New Ashok Nagar,Botanical Garden,4.7,10.3,8.9,0.19,0.5
Botanical Garden,Mandi House,23.1,40.6,57.7,0.61,0.47
Mandi House,Botanical Garden,23.1,40.6,57.7,0.61,0.47
Botanical Garden,Pragati Maidan,8.9,14.6,16.9,0.97,0.9
Pragati Maidan,Botanical Garden,8.9,14.6,16.9,0.97,0.9
Botanical Garden,Inderlok,14.7,25.1,21.4,0.84,0.56
Inderlok,Botanical Garden,14.7,25.1,21.4,0.84,0.56
Botanical Garden,Netaji Subhash Place,12.5,19.8,16.5,0.81,0.86
Netaji Subhash Place,Botanical Garden,12.5,19.8,16.5,0.81,0.86
Botanical Garden,Punjabi Bagh West,4.8,11.2,8.3,0.41,0.36
Punjabi Bagh West,Botanical Garden,4.8,11.2,8.3,0.41,0.36
Vaishali,Anand Vihar,9.6,18.6,17.8,0.34,0.29
Anand Vihar,Vaishali,9.6,18.6,17.8,0.34,0.29
Vaishali,Laxmi Nagar,9.9,16.8,20.3,0.53,0.59
Laxmi Nagar,Vaishali,9.9,16.8,20.3,0.53,0.59
Vaishali,Mayur Vihar,7.0,17.3,16.5,0.21,0.26
Mayur Vihar,Vaishali,7.0,17.3,16.5,0.21,0.26
Vaishali,Yamuna Bank,22.6,51.2,29.3,0.43,0.17
Yamuna Bank,Vaishali,22.6,51.2,29.3,0.43,0.17
Vaishali,New Ashok Nagar,18.4,36.3,43.0,0.44,0.41
New Ashok Nagar,Vaishali,18.4,36.3,43.0,0.44,0.41
Vaishali,Mandi House,15.1,34.2,27.4,0.57,0.33
Mandi House,Vaishali,15.1,34.2,27.4,0.57,0.33
Vaishali,Pragati Maidan,14.1,27.4,29.9,0.08,0.97
Pragati Maidan,Vaishali,14.1,27.4,29.9,0.08,0.97
Vaishali,Inderlok,7.8,19.0,19.4,0.57,0.36
Inderlok,Vaishali,7.8,19.0,19.4,0.57,0.36
Vaishali,Netaji Subhash Place,15.1,33.4,18.4,0.21,0.69
Netaji Subhash Place,Vaishali,15.1,33.4,18.4,0.21,0.69
Vaishali,Punjabi Bagh West,11.2,25.7,16.3,0.38,0.34
Punjabi Bagh West,Vaishali,11.2,25.7,16.3,0.38,0.34
Anand Vihar,Laxmi Nagar,19.7,35.5,28.2,0.05,0.01
Laxmi Nagar,Anand Vihar,19.7,35.5,28.2,0.05,0.01
Anand Vihar,Mayur Vihar,4.6,10.8,10.2,0.42,0.57
Mayur Vihar,Anand Vihar,4.6,10.8,10.2,0.42,0.57
Anand Vihar,Yamuna Bank,19.6,39.0,39.2,0.02,0.77
Yamuna Bank,Anand Vihar,19.6,39.0,39.2,0.02,0.77
Anand Vihar,New Ashok Nagar,1.0,1.6,1.7,0.97,0.09
New Ashok Nagar,Anand Vihar,1.0,1.6,1.7,0.97,0.09
Anand Vihar,Mandi House,8.6,13.3,21.5,0.52,0.44
Mandi House,Anand Vihar,8.6,13.3,21.5,0.52,0.44
Anand Vihar,Pragati Maidan,18.3,27.5,24.6,0.49,0.08
Pragati Maidan,Anand Vihar,18.3,27.5,24.6,0.49,0.08
Anand Vihar,Inderlok,3.4,5.2,5.8,0.6,0.59
Inderlok,Anand Vihar,3.4,5.2,5.8,0.6,0.59
Anand Vihar,Netaji Subhash Place,5.7,11.1,9.9,0.13,0.32
Netaji Subhash Place,Anand Vihar,5.7,11.1,9.9,0.13,0.32
Anand Vihar,Punjabi Bagh West,17.5,43.7,35.3,0.25,0.65
Punjabi Bagh West,Anand Vihar,17.5,43.7,35.3,0.25,0.65
Laxmi Nagar,Mayur Vihar,24.6,53.1,33.9,0.49,0.81
Mayur Vihar,Laxmi Nagar,24.6,53.1,33.9,0.49,0.81
Laxmi Nagar,Yamuna Bank,21.4,47.0,40.5,0.07,0.25
Yamuna Bank,Laxmi Nagar,21.4,47.0,40.5,0.07,0.25
Laxmi Nagar,New Ashok Nagar,16.0,36.5,26.1,0.37,0.26
New Ashok Nagar,Laxmi Nagar,16.0,36.5,26.1,0.37,0.26
Laxmi Nagar,Mandi House,3.1,5.2,3.8,0.47,0.32
Mandi House,Laxmi Nagar,3.1,5.2,3.8,0.47,0.32
Laxmi Nagar,Pragati Maidan,19.9,42.2,37.5,0.12,0.97
Pragati Maidan,Laxmi Nagar,19.9,42.2,37.5,0.12,0.97
Laxmi Nagar,Inderlok,6.2,10.7,13.4,0.15,0.33
Inderlok,Laxmi Nagar,6.2,10.7,13.4,0.15,0.33
Laxmi Nagar,Netaji Subhash Place,8.1,19.7,14.2,0.09,0.21
Netaji Subhash Place,Laxmi Nagar,8.1,19.7,14.2,0.09,0.21
Laxmi Nagar,Punjabi Bagh West,4.4,8.0,7.4,0.51,0.57
Punjabi Bagh West,Laxmi Nagar,4.4,8.0,7.4,0.51,0.57
Mayur Vihar,Yamuna Bank,13.6,22.5,33.1,0.77,0.6
Yamuna Bank,Mayur Vihar,13.6,22.5,33.1,0.77,0.6
Mayur Vihar,New Ashok Nagar,8.1,12.4,17.4,0.25,0.92
New Ashok Nagar,Mayur Vihar,8.1,12.4,17.4,0.25,0.92
Mayur Vihar,Mandi House,16.8,35.3,24.0,0.88,0.78
Mandi House,Mayur Vihar,16.8,35.3,24.0,0.88,0.78
Mayur Vihar,Pragati Maidan,16.1,26.0,27.3,0.94,0.11
Pragati Maidan,Mayur Vihar,16.1,26.0,27.3,0.94,0.11
Mayur Vihar,Inderlok,3.1,6.4,7.2,0.19,0.08
Inderlok,Mayur Vihar,3.1,6.4,7.2,0.19,0.08
Mayur Vihar,Netaji Subhash Place,18.1,40.7,33.3,0.37,0.75
Netaji Subhash Place,Mayur Vihar,18.1,40.7,33.3,0.37,0.75
Mayur Vihar,Punjabi Bagh West,24.3,39.4,34.4,0.64,0.17
Punjabi Bagh West,Mayur Vihar,24.3,39.4,34.4,0.64,0.17
Yamuna Bank,New Ashok Nagar,14.2,30.7,17.5,0.15,0.16
New Ashok Nagar,Yamuna Bank,14.2,30.7,17.5,0.15,0.16
Yamuna Bank,Mandi House,14.3,26.8,21.9,0.2,0.22
Mandi House,Yamuna Bank,14.3,26.8,21.9,0.2,0.22
Yamuna Bank,Pragati Maidan,15.0,31.7,33.8,0.39,0.84
Pragati Maidan,Yamuna Bank,15.0,31.7,33.8,0.39,0.84
Yamuna Bank,Inderlok,4.6,7.3,6.8,0.61,0.23
Inderlok,Yamuna Bank,4.6,7.3,6.8,0.61,0.23
Yamuna Bank,Netaji Subhash Place,24.4,47.6,41.5,0.43,0.74
Netaji Subhash Place,Yamuna Bank,24.4,47.6,41.5,0.43,0.74
Yamuna Bank,Punjabi Bagh West,18.0,27.2,41.3,0.62,0.68
Punjabi Bagh West,Yamuna Bank,18.0,27.2,41.3,0.62,0.68
New Ashok Nagar,Mandi House,4.1,8.4,5.8,0.2,0.28
Mandi House,New Ashok Nagar,4.1,8.4,5.8,0.2,0.28
New Ashok Nagar,Pragati Maidan,9.1,19.7,17.7,0.83,0.19
Pragati Maidan,New Ashok Nagar,9.1,19.7,17.7,0.83,0.19
New Ashok Nagar,Inderlok,17.0,41.4,33.7,0.64,0.9
Inderlok,New Ashok Nagar,17.0,41.4,33.7,0.64,0.9
New Ashok Nagar,Netaji Subhash Place,1.6,4.0,2.4,0.44,0.15
Netaji Subhash Place,New Ashok Nagar,1.6,4.0,2.4,0.44,0.15
New Ashok Nagar,Punjabi Bagh West,8.5,20.7,17.0,0.45,0.04
Punjabi Bagh West,New Ashok Nagar,8.5,20.7,17.0,0.45,0.04
Mandi House,Pragati Maidan,2.0,4.0,4.8,0.18,0.57
Pragati Maidan,Mandi House,2.0,4.0,4.8,0.18,0.57
Mandi House,Inderlok,24.9,46.4,61.6,0.05,0.85
Inderlok,Mandi House,24.9,46.4,61.6,0.05,0.85
Mandi House,Netaji Subhash Place,8.7,14.5,20.6,0.37,0.39
Netaji Subhash Place,Mandi House,8.7,14.5,20.6,0.37,0.39
Mandi House,Punjabi Bagh West,21.1,49.6,26.3,0.1,0.93
Punjabi Bagh West,Mandi House,21.1,49.6,26.3,0.1,0.93
Pragati Maidan,Inderlok,4.2,7.7,8.8,0.07,0.46
Inderlok,Pragati Maidan,4.2,7.7,8.8,0.07,0.46
Pragati Maidan,Netaji Subhash Place,13.4,22.2,20.0,0.16,0.17
Netaji Subhash Place,Pragati Maidan,13.4,22.2,20.0,0.16,0.17
Pragati Maidan,Punjabi Bagh West,1.9,3.9,3.0,0.52,0.7
Punjabi Bagh West,Pragati Maidan,1.9,3.9,3.0,0.52,0.7
Inderlok,Netaji Subhash Place,19.4,37.8,28.0,0.37,0.73
Netaji Subhash Place,Inderlok,19.4,37.8,28.0,0.37,0.73
Inderlok,Punjabi Bagh West,1.5,3.6,3.5,0.87,0.24
Punjabi Bagh West,Inderlok,1.5,3.6,3.5,0.87,0.24
Netaji Subhash Place,Punjabi Bagh West,23.8,47.6,53.1,0.98,0.78
Punjabi Bagh West,Netaji Subhash Place,23.8,47.6,53.1,0.98,0.78
